timestamp,node,cpu_pct,cpu_pods,mem_pct,mem_pods,io_read_bytes_per_sec,io_write_bytes_per_sec,io_pods
1786083124.633128,node-1,7.13,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,84335.98,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083124.8903844,node-0,0.43,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083125.154637,node-2,47.73,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,30342.75,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083125.637228,node-1,7.13,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,84335.98,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083125.8946197,node-0,0.43,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083126.1595178,node-2,47.73,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,30342.75,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083126.641238,node-1,7.13,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,84335.98,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083126.898855,node-0,0.43,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083127.164375,node-2,47.73,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,30342.75,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083127.646661,node-1,7.13,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,84335.98,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083127.9031324,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083128.1692643,node-2,47.73,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,30342.75,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083128.6511407,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083128.9076984,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083129.1740527,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083129.655701,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083129.911947,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083130.1793516,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083130.6608098,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083130.9160426,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083131.1841145,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083131.665316,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083131.919654,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083132.1894565,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083132.6708643,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083132.9247928,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083133.1947658,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083133.6763012,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083133.9291515,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083134.200289,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083134.6816928,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083134.9347143,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083135.2067413,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083135.6860797,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083135.939015,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083136.211426,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083136.6907654,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083136.9433787,node-0,0.35,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29110272.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083137.216106,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083137.6951,node-1,0.78,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,8614.12,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083137.9473279,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083138.220271,node-2,3.81,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13049856.0",0.0,6392.33,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083138.699632,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083138.951765,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083139.2254014,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083139.7043927,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083139.9569345,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083140.2307556,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083140.7101374,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083140.9611592,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083141.2355692,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083141.7152698,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083141.9654887,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083142.2496583,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083142.7197924,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083142.9704266,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083143.2546887,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083143.7246869,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083143.9748483,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083144.2605357,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083144.7299776,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083144.9800656,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083145.266869,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083145.734365,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083145.9843395,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083146.272958,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083146.7381659,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083146.9884672,node-0,0.36,"{speaker-kxvm6"": 0.03",0.56,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083147.2798908,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083147.7425907,node-1,1.0,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",0.99,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18059264.0",0.0,12580.2,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083147.992558,node-0,0.34,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083148.2857592,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12922880.0",0.0,9170.22,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083148.7471056,node-1,4.44,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.0,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17571840.0",0.0,9864.64,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083148.9969313,node-0,0.34,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083149.2906795,node-2,16.45,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12918784.0",0.0,7860.72,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083149.7516193,node-1,4.44,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.0,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17571840.0",0.0,9864.64,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083150.009003,node-0,0.34,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083150.298743,node-2,16.45,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.58,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 12918784.0",0.0,7860.72,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083150.756158,node-1,4.44,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",1.0,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17571840.0",0.0,9864.64,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083151.0133352,node-0,0.34,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29876224.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
